name,address,phone_number,website,description
Goodman Howard E Dr,"North York, ON",416-441-3232,http://www.smilexperts.ca/,Dr. Kachuck is considered by some to be the best dentist on the planet.
Cadas Chris P Dr,"33 Harbour Square, Toronto, ON M5J 2G2",416-862-0140,https://www.facebook.com/328825317598015,"Cadas Chris P Dr is a great dentist with a great clinic, using an ultra sonic scaler for cleanings and billing fairly according to the Ontario fee guide."
Concorde Gate Dental,"North York, ON",647-360-3931,http://smilexperts.ca/,We believe that making your smile...
Ing Katherine Dr,"586 Eglinton Ave E, Toronto, ON M4P 1P2",416-486-6765,http://leasidesmiles.com/,Our friendly home-like environment promotes a positive introduction to visiting the dentist.
Costache Dentistry Professional Corporat,"1066 Bloor St W, Toronto, ON M6H 1M6",416-534-9991,http://costachedentistry.com/,"Galleria Shopping Centre, Wisdom Teeth, Root Canal, Cosmetic Dentistry, Teeth Cleaning, Mouth Guard, Teeth Whitening, Tooth Bonding, Dental Examination, Tooth Extraction, Veneer"
Coxwell Dental Health Centre,"721 Coxwell Ave, Toronto, ON M4C 3C3",416-463-2523,https://coxwelldental.com/,"At the Coxwell Dental Health Centre, we put smiles first."
Dr Sharon Perlmutter,"500 Glencairn Ave, North York, ON M6B 1Z1",416-783-2272,N/A,Perlmutter Dentistry
Orthodontics on Danforth,"758 Danforth Ave, Toronto, ON M4J 1L5",416-465-8880,http://www.orthodonticsondanforth.com/,"At Orthodontics on Danforth, we provide comprehensive orthodontic care in a friendly and family-oriented environment."
George Zarb Dentistry Professional Corporation,"2300 Yonge St, Toronto, ON M4P 1E4",416-488-1643,http://gzarbdentistry.com/,Dr. George Zarb and his team provide customized treatments designed to keep you smiling.
Sturm Judy Dr,"77 Bloor St W, Toronto, ON M5S 1M2",416-967-4212,http://www.yorkvillesmiles.com/,Keeping your smile happy and healthy is the number one priority of Dr. Judy Sturm & Associates.
Yorkville Oral & Maxillofacial Surgery,"130 Bloor Street West, Toronto, ON M5S 1N5",416-923-2100,https://www.yorkvilleoralsurgery.com/,Yorkville Oral & Maxillofacial Surgery practices a full scope of oral and maxillofacial surgery with expertise ranging from corrective jaw surgery to wisdom tooth removal.
Dr Miriam Grushka,"2-974 Eglinton Ave W, Toronto, ON M6C 2C5",416-787-2930,http://miriamgrushka.ca/,Dr. Grushka graduated from Dentistry at the University of Toronto and completed her Ph.D. studies in Dentistry at the same university in 1986.
Borovac Dentistry,"60 Bloor St W, Toronto, ON M4W 3B8",416-922-1012,http://www.nicholaskempdentistry.com/,"We offer a comprehensive range of Hygiene Services including irrigation, polishing, desensitization and teeth whitening."
Oral Surgery Practice,"340 College Street, Toronto, ON M5T 3A9",416-924-9673,N/A,"For reliable dental care in the downtown Toronto area, visit Oral Surgery Practice on College Street today."
Dr Daniel Zimmerman,"883 Jane St, York, ON M6N 4C4",416-767-6591,N/A,Looking for a dentist ASAP? Dr Daniel Zimmerman is your oral health expert in York.
Staibano Philip Dr,"2221 Keele St, North York, ON M6M 3Z5",416-247-9257,http://www.facebook.com/1150940648273911,Dentists
Doctor Mincer Samuel,"1916 Avenue Road, North York, ON M5M 4A1",416-256-0907,http://www.facebook.com/392864124487459,Dentists
Dr Bruce Stanley,"203-2179 Yonge St, Toronto, ON M4S 2B1",416-488-6633,N/A,Dentists
Eglinton West Dental,"1114 Eglinton Ave W, Toronto, ON M6C 2E2",647-484-2557,http://eglintonwestdental.ca/,"We offer preventitive, restorative and cosmetic dental services, providing gentle dental treatment for patients of all ages in Upper Village of Forest Hill."
Dentistry on Danforth,"249 Danforth Ave, Toronto, ON M4K 1N2",647-360-3815,http://www.dentistryondanforth.com/,"Dentistry on Danforth Provides Comprehensive Dentistry In One Location-Preventive & General Dentistry, Cosmetic, Implant and Restorative Dentistry."
